file_id,lap_number,start_time,duration_seconds,distance_meters,calories,max_speed_ms,avg_cadence,intensity,trigger_method
JxS9hCAnEn-U,1,2023-10-07T11:56:44Z,1560.019,4037.842688114847,228,4.319172088960522,157.48756706793057,"
      Active
","
      Manual
"
k93RgcRCdJ_J,1,2024-09-03T11:40:04Z,2106.473,5373.859883913645,302,3.345539301636978,147.15787150611175,"
      Active
","
      Manual
"
KBrdOPjxZFFY,1,2024-07-24T10:20:16Z,1001.569,2613.261293651799,148,4.811630537620826,145.77717015139427,"
      Active
","
      Manual
"
KG1SJDqssa7K,1,2025-05-20T12:13:20Z,2087.876,5151.883756987283,287,3.6048024449617615,150.3224586641818,"
      Active
","
      Manual
"
kkiMzwK3sp2z,1,2024-01-23T11:55:54Z,1205.022,3403.7740725562853,195,3.114619027397721,147.94131244598552,"
      Active
","
      Manual
"
KPPwIUEBIab1,1,2025-04-04T14:10:23Z,2055.428,4867.952187592399,274,2.7867982045640116,151.02759902270472,"
      Active
","
      Manual
"
kq1TMISsPIPh,1,2025-01-27T10:57:48Z,1500.027,3385.55899891117,186,2.461609793457766,142.1717728459937,"
      Active
","
      Manual
"
L7AGC6px4AIr,1,2023-06-02T22:08:58Z,600.623,1447.0862405374646,81,2.9114569941147947,150.33397876739502,"
      Active
","
      Manual
"
LIHYsUZT_A0j,1,2023-12-14T01:48:34Z,709.41,0,0,NA,NA,"
      Active
","
      Manual
"
LKLG4aFi9QnV,1,2025-01-26T15:17:08Z,555.337,1252.033801497891,71,2.530593812163215,137.50634020956878,"
      Active
","
      Manual
"
LLCCANLZgfpF,1,2024-07-12T12:11:05Z,1125.626,3008.7443045405394,170,3.4527073534510855,145.34364128112793,"
      Active
","
      Manual
"
lN6HhohXJOW1,1,2024-07-23T09:37:21Z,840.626,2056.6946028854286,115,2.6098661742711124,148.15156057541986,"
      Active
","
      Manual
"
LQSXU11qFV9F,1,2024-09-28T13:56:38Z,1500.053,3689.994234635222,210,2.6785314031503735,146.2004645063627,"
      Active
","
      Manual
"
MhNWDl6Aqu9y,1,2025-07-03T23:38:14Z,289.901,783.5355618397007,44,3.6723897607831546,149.66158533514593,"
      Active
","
      Manual
"
Mlyz1KU6kgQ4,1,2023-09-18T10:32:00Z,600.005,1609.903616132447,91,4.0994351336001955,158.49207615444803,"
      Active
","
      Manual
"
nGFZ60OMUgrf,1,2025-07-01T13:25:57Z,622.939,1566.658322992152,88,3.0288518111997704,145.36787070912763,"
      Active
","
      Manual
"
NHEJXCV50MRy,1,2023-09-14T11:36:49Z,843.604,2240.7136430447,133,3.876250073946683,151.188210558064,"
      Active
","
      Manual
"
NKzquOLA0ilE,1,2024-11-01T10:42:33Z,555.991,1369.8408277693654,77,2.672815601538052,141.50328416779567,"
      Active
","
      Manual
"
nPzDcfuo0wEf,1,2023-05-08T13:41:08Z,420.007,979.7460793596692,53,2.4714682251414097,150.96039551641883,"
      Active
","
      Manual
"
ob7GgeEOnzpy,1,2024-09-30T10:01:41Z,53.052,112.7003665247612,5,2.6565652523791337,145.84781017303467,"
      Active
","
      Manual
"
oDHNTuHWCBNj,1,2024-11-05T10:38:48Z,840.028,2045.8903705710536,110,2.6063570295864436,142.5207653251061,"
      Active
","
      Manual
"
OhHhuVKJRBHE,1,2023-04-29T12:26:17Z,1328.015,2683.0077872748934,138,2.5523004721248657,147.64386055754122,"
      Active
","
      Manual
"
OjIJlYopJAGN,1,2023-09-26T10:26:34Z,2520.393,6099.233154454737,344,3.4823240629820984,159.1444895728785,"
      Active
","
      Manual
"
OKqZKmsCNTWS,1,2023-09-22T11:30:13Z,1500.031,3784.710540818049,211,3.514444293300035,156.97297758253168,"
      Active
","
      Manual
"
Om8wrNhacCXK,1,2025-07-11T12:48:53Z,900.988,2564.373118620832,153,4.68823117648695,145.15573475921855,"
      Active
","
      Manual
"
oQ7qkumHX_B8,1,2022-11-21T22:21:59Z,1205.602,3247.0561072288483,199,2.9350133912526113,148.3034000303231,"
      Active
","
      Manual
"
osJ4UNJsV4eJ,1,2023-11-07T12:32:49Z,944.452,2680.5071715468075,152,3.2956021414558867,153.7965773438754,"
      Active
","
      Manual
"
owlHwXILReH8,1,2023-09-16T17:03:17Z,408.241,0,0,NA,NA,"
      Active
","
      Manual
"
pB9L4Xa-Al-s,1,2023-12-01T16:52:35Z,1680.036,4859.042761023389,281,3.487572752714452,154.22403273356088,"
      Active
","
      Manual
"
QdC9NnaVmNG9,1,2025-04-08T19:14:35Z,1839.409,4496.844789123052,249,4.54470447093819,153.3879841978022,"
      Active
","
      Manual
"
QDE2mtelDGjF,1,2023-09-24T12:09:56Z,1020.003,2699.166258479934,153,5.294578278469519,156.8207576016635,"
      Active
","
      Manual
"
qjuWx763QYD9,1,2025-01-20T23:33:37Z,900.999,1998.2467900599563,109,2.344167428544121,137.59781450756714,"
      Active
","
      Manual
"
qV6Bmc1AjmCE,1,2023-02-15T15:17:12Z,1205.004,3054.0397574914346,172,2.672846703125806,152.38622271682772,"
      Active
","
      Manual
"
qWuZN769P2h0,1,2023-10-04T22:38:47Z,810.005,2541.0442591689057,156,3.902642663867173,152.01278543629144,"
      Active
","
      Manual
"
R_CZERu2nZ0i,1,2023-10-22T14:51:39Z,602.383,1762.23011764721,109,4.325784397164254,148.0224418076602,"
      Active
","
      Manual
"
REQDlUKbBTkR,1,2023-09-20T10:34:29Z,600.008,1609.3577767456889,91,3.021985805247641,157.4590860900716,"
      Active
","
      Manual
"
RgsKu7qQR1Ju,1,2024-07-19T10:10:37Z,810.97,2560.2452206969456,155,5.2039666036901755,145.92268886659053,"
      Active
","
      Manual
"
rkJKWKG9aXLL,1,2025-03-06T21:35:11Z,1813.332,4261.9664417654285,233,3.0483730847357604,145.3439911581757,"
      Active
","
      Manual
"
rKXv84homSYO,1,2023-09-14T10:56:21Z,380.914,0,0,NA,NA,"
      Active
","
      Manual
"
