file_id,activity_id,sport,start_time,total_duration_seconds,total_distance_meters,total_calories,max_speed_ms,notes,file_path
twqQxj342aCx,"
      2023-07-14T22:59:39.070Z
",Running,NA,900.015,2139.8837845500093,118,2.5386829994972575,NA,/cloud/project/running_data//twqQxj342aCx.xml
Tz_e30xf3NmU,"
      2023-01-30T14:58:23.980Z
",Running,NA,1205.631,2157.573964920594,114,3.612573929554315,NA,/cloud/project/running_data//Tz_e30xf3NmU.xml
u5w1nRUPPjE0,"
      2023-09-29T11:39:19.613Z
",Running,NA,720.979,2073.4597241464076,118,3.5609761085278837,NA,/cloud/project/running_data//u5w1nRUPPjE0.xml
Un4uj0raCJYd,"
      2025-03-13T19:14:56.954Z
",Running,NA,144.555,369.25746832194267,20,2.864176252226219,NA,/cloud/project/running_data//Un4uj0raCJYd.xml
upexovAuOJrV,"
      2024-09-25T22:18:52.285Z
",Running,NA,900.038,2065.7305137335215,115,2.6358422255859373,NA,/cloud/project/running_data//upexovAuOJrV.xml
uQiKsroojNJK,"
      2024-09-26T11:01:13.190Z
",Running,NA,38.817,43.001758533333486,8,1.364837614674696,NA,/cloud/project/running_data//uQiKsroojNJK.xml
uTp6HxtTfBIr,"
      2023-09-22T11:16:38.667Z
",undefined,NA,381.008,0,0,0,NA,/cloud/project/running_data//uTp6HxtTfBIr.xml
UVhh55LXso1u,"
      2023-06-02T22:33:03.306Z
",Running,NA,660.175,1585.911765097174,93,3.6218541596890863,NA,/cloud/project/running_data//UVhh55LXso1u.xml
uxlBefN2wrKY,"
      2025-05-01T12:16:47.941Z
",Running,NA,1145.573,3004.1372140599397,172,2.8193636300038194,NA,/cloud/project/running_data//uxlBefN2wrKY.xml
UzeahXIw4HTe,"
      2024-09-30T10:03:00.580Z
",Running,NA,1922.308,5006.880495634916,284,2.8963590769440972,NA,/cloud/project/running_data//UzeahXIw4HTe.xml
V15DGFUqvhoF,"
      2023-10-16T10:40:30.880Z
",Running,NA,2544.583,6444.6255794719345,361,3.3246156296554115,NA,/cloud/project/running_data//V15DGFUqvhoF.xml
V5ixOc5qOwZw,"
      2025-06-30T12:36:04.173Z
",Running,NA,810.945,1943.2015164187196,117,2.656527977903682,NA,/cloud/project/running_data//V5ixOc5qOwZw.xml
V9Y2iHdIVZ5t,"
      2023-05-17T12:42:30.151Z
",Running,NA,1021.471,2384.30577098462,132,3.7407116231890343,NA,/cloud/project/running_data//V9Y2iHdIVZ5t.xml
VevdfKC70pVY,"
      2023-10-03T10:49:18.021Z
",Running,NA,901.002,2342.099652821197,131,3.2745567060672016,NA,/cloud/project/running_data//VevdfKC70pVY.xml
Vg5Y5pRW3aCu,"
      2022-11-10T01:38:22.760Z
",Running,NA,809.992,2118.4567215651045,129,3.2080417038140054,NA,/cloud/project/running_data//Vg5Y5pRW3aCu.xml
vi5sq9AF0fRD,"
      2023-05-01T12:47:25.274Z
",Running,NA,300.007,690.8431745968993,37,2.9877335932501037,NA,/cloud/project/running_data//vi5sq9AF0fRD.xml
